Name,Height
 Aaliyah,5ft 5 (165cm)
Quinton Aaron,6ft 7 ½ (202cm)
Bonnie Aarons,5ft 7 ½ (171cm)
Hiam Abbass,5ft 5 (165cm)
Amanda Abbington,5ft 4 ½ (164cm)
Russ Abbot,6ft 2 (188cm)
Christopher Abbott,5ft 11 ½ (182cm)
Tony Abbott,5ft 10 (178cm)
Barkhad Abdi,5ft 9 ¾ (177cm)
Kate Abdo,5ft 5 ½ (166cm)
Paula Abdul,5ft 0 (152cm)
Kareem Abdul Jabbar,7ft 1 &frac78; (218cm)
Yahya Abdul-Mateen II,6ft 1 ¾ (187cm)
Shinzō Abe,5ft 8 &frac78; (175cm)
Danny A. Abeckaser,5ft 6 (168cm)
Jake Abel,6ft  ¾ in (185cm)
Marisa Abela,5ft 5 (165cm)
Raymond Ablack,5ft 11 ¾ (182cm)
F. Murray Abraham,5ft 10 (178cm)
John Abraham,5ft 11 ½ (182cm)
Tammy Abraham,6ft 4 (193cm)
Jon Abrahams,5ft 6 (168cm)
Zaraah Abrahams,5ft 2 ½ (159cm)
Austin Abrams,5ft 7 ½ (171cm)
J.J. Abrams,5ft 7 (170cm)
Stephanie Abrams,5ft 7 ¾ (172cm)
Susie Abromeit,5ft 7 (170cm)
Joe Absolom,5ft 11 ¾ (182cm)
Omid Abtahi,5ft 6 ¾ (170cm)
Kirk Acevedo,5ft 8 ¾ (175cm)
Amrita Acharia,5ft  ½ in (154cm)
Amy Acker,5ft 7 (170cm)
Naomi Ackie,5ft 6 (168cm)
Joss Ackland,6ft 0 (183cm)
Danneel Ackles,5ft 6 (168cm)
Jensen Ackles,6ft 0 (183cm)
Allegra Acosta,5ft 6 (168cm)
Anabelle Acosta,5ft 6 ¾ (170cm)
Jason Acuña,4ft 3 ½ (131cm)
Aggy K. Adams,5ft 7 (170cm)
Amy Adams,5ft 3 ½ (161cm)
Brian Adams,6ft 5 (196cm)
Brooke Adams,5ft 3 (160cm)
Bryan Adams,5ft 8 (173cm)
